Date,Steps,Distance,Floors Ascended
6/14/2023,3135,1.6,14
6/13/2023,1198,0.6,0
6/12/2023,1041,0.5,0
6/11/2023,2009,1,0
6/10/2023,4828,2.4,0
6/9/2023,2254,1.1,1
6/8/2023,3794,1.8,1
6/7/2023,1078,0.5,0
6/6/2023,736,0.4,0
6/5/2023,5398,2.7,0
6/4/2023,5128,2.4,1
6/3/2023,1712,0.8,0
6/2/2023,5085,2.5,7
6/1/2023,4948,2.4,3
5/31/2023,2808,1.4,3
5/30/2023,10193,4.8,12
5/29/2023,662,0.3,1
5/28/2023,4084,2,2
5/27/2023,788,0.4,1
5/26/2023,5369,2.7,1
5/25/2023,7384,3.8,7
5/24/2023,606,0.3,1
5/23/2023,9148,4.4,13
5/22/2023,9919,4.8,13
5/21/2023,3995,2,5
5/20/2023,904,0.5,1
5/19/2023,5150,2.5,1
5/18/2023,5490,2.9,10
5/17/2023,135,0.1,0
5/16/2023,9184,4.6,12
5/15/2023,8787,4.3,12
5/14/2023,2931,1.5,1
5/13/2023,610,0.3,1
5/12/2023,5307,2.5,1
5/11/2023,6303,3.2,7
5/10/2023,6073,3.2,4
5/9/2023,8346,4.3,7
5/8/2023,9506,4.9,10
5/7/2023,8084,4,2
5/6/2023,934,0.5,1
5/5/2023,1190,0.6,2
5/4/2023,2213,1.1,4
5/3/2023,8164,4.3,11
5/2/2023,6585,3.5,7
5/1/2023,6816,3.4,16
4/30/2023,2736,1.3,0
4/29/2023,1044,0.5,1
4/28/2023,6342,3.2,5
4/27/2023,8087,4.1,12
4/26/2023,1215,0.6,1
4/25/2023,8488,4.3,10
4/24/2023,8894,4.6,14
4/23/2023,2987,1.5,2
4/22/2023,930,0.5,2
4/21/2023,6816,3.4,2
4/20/2023,6490,3.4,9
4/19/2023,1029,0.5,1
4/18/2023,6850,3.4,13
4/17/2023,6265,3.1,8
4/16/2023,10318,5.1,2
4/15/2023,1342,0.7,1
4/14/2023,1049,0.6,1
4/13/2023,6797,3.6,7
4/12/2023,1374,0.7,1
4/11/2023,7796,4.1,8
4/10/2023,7701,4.1,7
4/9/2023,8525,4.4,2
4/8/2023,3575,1.9,2
4/7/2023,758,0.4,0
4/6/2023,8037,4.1,8
4/5/2023,2007,1,2
4/4/2023,8059,4.2,13
4/3/2023,8536,4.4,11
4/2/2023,2844,1.4,3
4/1/2023,1299,0.7,1
3/31/2023,1925,1,2
3/30/2023,6723,3.4,7
3/29/2023,8911,4.4,12
3/28/2023,7293,3.6,10
3/27/2023,8611,4.5,9
3/26/2023,3147,1.7,1
3/25/2023,951,0.5,1
3/24/2023,6232,3.1,1
3/23/2023,7726,4.1,11
3/22/2023,6531,3.3,2
3/21/2023,8111,4.2,13
3/20/2023,8409,4.4,13
3/19/2023,10066,5.1,6
3/18/2023,1171,0.6,1
3/17/2023,6244,3.1,3
3/16/2023,7634,3.8,10
3/15/2023,863,0.4,1
3/14/2023,8240,4.1,14
3/13/2023,8305,4.1,11
3/12/2023,9819,4.8,2
3/11/2023,1211,0.6,2
3/10/2023,6976,3.5,1
3/9/2023,8184,4,9
3/8/2023,7750,3.9,8
3/7/2023,8544,4,12
3/6/2023,7317,3.6,11
3/5/2023,11246,5.6,2
3/4/2023,3491,1.7,5
3/3/2023,1621,0.8,1
3/2/2023,9066,4.6,5
3/1/2023,1461,0.7,1
2/28/2023,4654,2.4,6
2/27/2023,5253,2.7,2
2/26/2023,9587,4.9,3
2/25/2023,1184,0.6,1
2/24/2023,5035,2.5,2
2/23/2023,8516,4,7
2/22/2023,7983,3.9,9
2/21/2023,7813,4,9
2/20/2023,5524,2.8,1
2/19/2023,11791,5.9,6
2/18/2023,1389,0.7,1
2/17/2023,3085,1.6,1
2/16/2023,1101,0.6,0
2/15/2023,5648,3,3
2/14/2023,5133,2.8,1
2/13/2023,6037,3.1,3
2/12/2023,8852,4.4,1
2/11/2023,3588,1.8,2
2/10/2023,1573,0.8,1
2/9/2023,8137,4.1,10
2/8/2023,7501,3.7,5
2/7/2023,6209,3.1,5
2/6/2023,4887,2.5,3
2/5/2023,10774,5.5,2
2/4/2023,408,0.2,0
2/3/2023,319,0.2,0
2/2/2023,8078,4.1,9
2/1/2023,5956,3,3
1/31/2023,6567,3.4,8
1/30/2023,5377,2.8,2
1/29/2023,10174,5.1,1
1/28/2023,1431,0.7,1
1/27/2023,6544,3.2,1
1/26/2023,7555,3.7,10
1/25/2023,6764,3.4,5
1/24/2023,5793,3,6
1/23/2023,1915,1,1
1/22/2023,7694,3.5,0
1/21/2023,7444,3.6,1
1/20/2023,272,0.2,0
1/19/2023,8094,4.2,7
1/18/2023,6128,3,6
1/17/2023,6007,3.1,7
1/16/2023,4493,2.3,2
1/15/2023,8672,4.4,1
1/14/2023,1095,0.6,2
1/13/2023,4179,2.2,2
1/12/2023,4888,2.5,9
1/11/2023,5556,2.7,6
1/10/2023,4355,2.3,7
1/9/2023,6459,3.2,11
1/8/2023,3875,1.9,4
1/7/2023,2068,1,0
1/6/2023,1250,0.6,0
1/5/2023,892,0.4,1
1/4/2023,1827,0.9,2
1/3/2023,1220,0.6,0
1/2/2023,2441,1.2,0
1/1/2023,285,0.2,0
12/31/2022,2873,1.5,2
12/30/2022,1085,0.5,1
12/29/2022,7140,3.3,2
12/28/2022,1511,0.8,0
12/27/2022,1757,0.8,0
12/26/2022,3877,1.9,0
12/25/2022,316,0.2,0
12/24/2022,467,0.2,0
12/23/2022,1513,0.8,0
12/22/2022,1327,0.7,4
12/21/2022,2823,1.4,6
12/20/2022,6090,2.9,3
12/19/2022,2046,1,1
12/18/2022,4831,2.4,2
12/17/2022,1625,0.8,2
12/16/2022,164,0.1,0
12/15/2022,267,0.1,0
12/14/2022,5537,2.8,2
12/13/2022,4251,2.3,1
12/12/2022,7614,3.7,10
12/11/2022,1772,0.9,1
12/10/2022,1097,0.6,1
12/9/2022,3346,1.9,0
12/8/2022,5138,2.8,2
12/7/2022,4748,2.4,6
12/6/2022,5512,2.7,6
12/5/2022,3228,1.6,5
12/4/2022,7530,4,5
12/3/2022,878,0.5,1
12/2/2022,3968,2.2,1
12/1/2022,4753,2.4,8
11/30/2022,3440,1.8,7
11/29/2022,3817,1.9,7
11/28/2022,742,0.4,1
11/27/2022,2006,1,1
11/26/2022,952,0.5,1
11/25/2022,884,0.4,2
11/24/2022,253,0.1,0
11/23/2022,1264,0.6,2
11/22/2022,2802,1.4,2
11/21/2022,4971,2.4,4
11/20/2022,3556,1.8,3
11/19/2022,560,0.3,1
11/18/2022,4314,2.3,2
11/17/2022,2792,1.4,3
11/16/2022,3498,1.8,7
11/15/2022,4394,2.2,3
11/14/2022,5023,2.8,4
11/13/2022,7372,3.8,2
11/12/2022,711,0.4,1
11/11/2022,313,0.2,0
11/10/2022,5756,3.1,2
11/9/2022,4642,2.5,2
11/8/2022,4271,2.3,1
11/7/2022,3923,2.1,1
11/6/2022,6104,3.3,2
11/5/2022,2839,1.4,3
11/4/2022,3771,2.1,1
11/3/2022,3679,2,1
11/2/2022,5086,2.6,8
11/1/2022,5113,2.7,2
10/31/2022,2644,1.4,2
10/30/2022,2597,1.3,2
10/29/2022,6411,3.5,2
10/28/2022,4101,2.2,1
10/27/2022,3944,2.2,0
10/26/2022,2742,1.3,4
10/25/2022,2641,1.3,4
10/24/2022,299,0.2,0
10/23/2022,2738,1.3,0
10/22/2022,345,0.2,0
10/21/2022,342,0.2,0
10/20/2022,238,0.1,0
10/19/2022,2517,1.3,3
10/18/2022,193,0.1,0
10/17/2022,789,0.4,0
10/16/2022,1846,0.9,0
10/15/2022,1367,0.7,2
10/14/2022,785,0.4,1
10/13/2022,3672,1.8,4
10/12/2022,4827,2.4,3
10/11/2022,2854,1.5,5
10/10/2022,4503,2.3,8
10/9/2022,2170,1.1,2
10/8/2022,776,0.4,1
10/7/2022,2065,1,1
10/6/2022,2214,1.2,2
10/5/2022,5474,2.7,2
10/4/2022,2756,1.4,1
10/3/2022,5308,2.6,8
10/2/2022,2186,1,1
10/1/2022,686,0.3,0
9/30/2022,368,0.2,0
9/29/2022,4484,2.2,6
9/28/2022,4363,2.2,5
9/27/2022,1711,0.9,1
9/26/2022,4605,2.4,6
9/25/2022,2258,1.1,0
9/24/2022,841,0.5,1
9/23/2022,3929,1.9,6
9/22/2022,3140,1.5,5
9/21/2022,3582,1.7,7
9/20/2022,3029,1.5,1
9/19/2022,3009,1.5,6
9/18/2022,2608,1.3,1
9/17/2022,923,0.5,2
9/16/2022,856,0.4,0
9/15/2022,5220,2.6,9
9/14/2022,3517,1.7,5
9/13/2022,3952,1.9,6
9/12/2022,4460,2.3,4
9/11/2022,1730,1,0
9/10/2022,844,0.4,1
9/9/2022,1485,0.8,1
9/8/2022,3810,1.9,8
9/7/2022,4882,2.4,7
9/6/2022,3087,1.5,7
9/5/2022,880,0.5,1
9/4/2022,2325,1.1,1
9/3/2022,1872,1,2
9/2/2022,1767,0.9,1
9/1/2022,2096,1.1,2
8/31/2022,4883,2.4,4
8/30/2022,4418,2.2,6
8/29/2022,3857,1.9,7
8/28/2022,2659,1.4,1
8/27/2022,1254,0.7,2
8/26/2022,534,0.3,0
8/25/2022,3566,1.8,4
8/24/2022,5603,2.7,6
8/23/2022,4552,2.2,4
8/22/2022,4446,2.2,6
8/21/2022,7125,3.4,3
8/20/2022,1120,0.6,2
8/19/2022,266,0.1,0
8/18/2022,5198,2.5,2
8/17/2022,9391,4.6,8
8/16/2022,3367,1.6,4
8/15/2022,7888,3.8,5
8/14/2022,2574,1.3,1
8/13/2022,1123,0.6,1
8/12/2022,4137,2.1,3
8/11/2022,3627,1.8,6
8/10/2022,3418,1.7,2
8/9/2022,8299,4,8
8/8/2022,8125,3.9,7
8/7/2022,2736,1.4,1
8/6/2022,898,0.5,1
8/5/2022,4857,2.5,3
8/4/2022,5167,2.5,3
8/3/2022,8309,4,7
8/2/2022,7474,3.6,5
8/1/2022,2792,1.4,1
7/31/2022,6677,3.4,3
7/30/2022,991,0.5,1
7/29/2022,1104,0.6,1
7/28/2022,1014,0.5,2
7/27/2022,3988,2,6
7/26/2022,7361,3.5,6
7/25/2022,8254,4,6
7/24/2022,271,0.1,0
7/23/2022,3316,1.6,2
7/22/2022,2723,1.4,4
7/21/2022,9339,4.4,8
7/20/2022,3499,1.8,5
7/19/2022,8279,4,8
7/18/2022,1649,0.9,2
7/17/2022,111,0.1,0
7/16/2022,3105,1.5,1
7/15/2022,111,0.1,0
7/14/2022,5274,2.5,1
7/13/2022,893,0.5,1
7/12/2022,4856,2.3,2
7/11/2022,4688,2.3,2
7/10/2022,369,0.2,0
7/9/2022,4220,1.9,1
7/8/2022,4596,2.3,1
7/7/2022,3669,1.8,1
7/6/2022,7333,3.6,8
7/5/2022,8653,4.2,11
7/4/2022,3956,2.1,3
7/3/2022,7675,3.8,1
