Year (N);ISO;Rank N;Score N;Score N without the exactions;Score N with the exactions;Score exactions;Rank N-1;Score N-1;Rank evolution;FR_country;EN_country;ES_country;AR_country;FA_country;Zone
2015;NGA;111;65,91;68,64;;55;112;65,76;1;Nigeria;Nigeria;Nigeria;نيجيريا;نیجریه;Afrique
2015;MDV;112;65,68;65,68;;71,1;108;66,89;-4;Maldives;Maldives;Maldivas;المالديف;مالدیو;Asie-Pacifique
2015;ZMB;113;65,65;65,65;;82,08;93;69,11;-20;Zambie;Zambia;Zambia;زامبيا;زامبیا;Afrique
2015;MNE;114;65,37;65,37;;86,14;114;65,22;0;Monténégro;Montenegro;Montenegro;الجبل الأسود;مونته‌نگرو;UE Balkans
2015;QAT;115;64,65;64,65;;89,01;113;65,68;-2;Qatar;Qatar;Catar;قطر;قطر;MENA
2015;TJK;116;63,81;64,11;;62,62;115;65,14;-1;Tadjikistan;Tajikistan;Tayikistán;طاجيكستان;تاجیکستان;EEAC
2015;MKD;117;63,74;63,74;;83,91;123;63,57;6;Macédoine du Nord;North Macedonia;República de Macedonia del Norte;مقدونيا الشمالية;مقدونیه شمالی ;UE Balkans
2015;MLI;118;63,67;67,57;;48,07;122;63,71;4;Mali;Mali;Malí;مالي;مالی;Afrique
2015;DZA;119;63,37;63,37;;68,65;121;63,74;2;Algérie;Algeria;Argelia;الجزائر;الجزایر;MENA
2015;ARE;120;63,27;63,27;;65,66;118;63,97;-2;Émirats arabes unis;United Arab Emirates;Emiratos Árabes Unidos;الإمارات العربية المتحدة;امارات متحده عربی;MENA
2015;BRN;121;63,24;63,24;;100;117;64,55;-4;Brunei;Brunei Darussalam;Brunéi;بروناي;برونی;Asie-Pacifique
2015;AFG;122;62,56;68,6;;38,43;128;62,93;6;Afghanistan;Afghanistan;Afganistán;أفغانستان;افغانستان;Asie-Pacifique
2015;AGO;123;62,16;62,16;;93,07;124;63,5;1;Angola;Angola;Angola;أنغولا;آنگولا;Afrique
2015;GTM;124;62,08;64,71;;51,56;125;63,39;1;Guatemala;Guatemala;Guatemala;غواتيمالا;گواتمالا;Amériques
2015;SSD;125;61,96;61,96;;71,67;119;63,95;-6;Soudan du Sud;South Sudan;Sudán del Sur;جمهورية جنوب السودان;سودان جنوبی;Afrique
2015;TUN;126;61,32;64,01;;50,55;133;61,31;7;Tunisie;Tunisia;Túnez;تونس;تونس;MENA
2015;OMN;127;61,17;61,17;;83,91;134;61,17;7;Oman;Oman;Omán;عمان;عمان;MENA
2015;COL;128;60,92;65,04;;44,47;126;63,32;-2;Colombie;Colombia;Colombia;كولومبيا;کلمبیا;Amériques
2015;UKR;129;60,9;69,82;;26,83;127;63,07;-2;Ukraine;Ukraine;Ucrania;أوكرانيا;اوکراين;EEAC
2015;MAR;130;60,81;60,81;;79,21;136;60,28;6;Maroc;Morocco;Marruecos;المغرب;مراکش;MENA
2015;ZWE;131;60,81;60,81;;68,22;135;60,81;4;Zimbabwe;Zimbabwe;Zimbabue;زيمبابوي;زیمبابوه;Afrique
2015;HND;132;60,73;66,07;;39,36;129;62,86;-3;Honduras;Honduras;Honduras;هندوراس;هندوراس;Amériques
2015;CMR;133;60,37;60,37;;72,92;131;61,87;-2;Cameroun;Cameroon;Camerún;الكاميرون;کامرون;Afrique
2015;THA;134;59,93;63,48;;45,75;130;62,06;-4;Thaïlande;Thailand;Tailandia;تايلاند;تایلند;Asie-Pacifique
2015;TCD;135;59,83;59,83;;93,07;139;59,78;4;Tchad;Chad;Chad;تشاد;چاد;Afrique
2015;IND;136;59,51;64,28;;40,42;140;59,66;4;Inde;India;India;الهند;هند;Asie-Pacifique
2015;VEN;137;59,39;64,43;;39,2;116;64,63;-21;Venezuela;Venezuela;Venezuela;فنزويلا;ونزوئلا;Amériques
2015;IDN;138;59,25;59,25;;72,92;132;61,85;-6;Indonésie;Indonesia;Indonesia;أندونيسيا;اندونزی;Asie-Pacifique
2015;KHM;139;59,01;59,01;;69,09;144;59,03;5;Cambodge;Cambodia;Camboya;كمبوديا;کامبوج;Asie-Pacifique
2015;PSE;140;58,99;61,84;;47,58;138;59,89;-2;Palestine;Palestine;Palestina;فلسطين;فلسطین;MENA
2015;PHL;141;58,81;63,86;;38,64;149;56,31;8;Philippines;Philippines;Filipinas;الفلبين;فلیپین;Asie-Pacifique
2015;ETH;142;58,17;63,72;;35,93;143;59,42;1;Éthiopie;Ethiopia;Etiopía;أثيوبيا;اتیوپی;Afrique
2015;JOR;143;57,93;57,93;;82,08;141;59,58;-2;Jordanie;Jordan;Jordania;الأردن;اردن;MENA
2015;MMR;144;57,92;60,37;;48,13;145;58,57;1;Birmanie;Myanmar;Birmania;بورما;برمه;Asie-Pacifique
