pl_name,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,discoverymethod,disc_year
Kepler-823 b,1.57,0.31,-0.14,3.09,NA,NA,Transit,2016
HD 75302 b,12.8,NA,NA,1716.2733978,158.9142035,-127.1313628,Radial Velocity,2023
Kepler-647 c,4.00135002,NA,NA,15.1,NA,NA,Transit,2020
K2-153 b,2,0.21,-0.18,4.66,NA,NA,Transit,2018
Kepler-1082 b,1.12,0.18,-0.13,1.46,NA,NA,Transit,2016
TOI-1431 b,16.70138124,0.56044903,-0.56044903,991.62462984,57.20911326,-57.20911326,Transit,2021
K2-79 b,4.09,0.17,-0.12,9.2,2.4,-2.4,Transit,2016
WASP-76 b,20.78145022,0.86309151,-0.85188253,284.13859586,4.4495977,-4.13176929,Transit,2016
HD 23472 c,1.87,0.12,-0.11,3.41,0.88,-0.81,Transit,2019
HD 192310 c,5.25,NA,NA,24,5,-5,Radial Velocity,2011
HD 195019 b,13,NA,NA,1264.9634,54.0311,-54.0311,Radial Velocity,1998
Kepler-334 b,1.12,0.21,-0.21,1.46,NA,NA,Transit,2014
K2-346 b,2.26,0.19,-0.1,5.73,NA,NA,Transit,2021
Kepler-1196 b,2.23,0.37,-0.21,5.6,NA,NA,Transit,2016
Kepler-333 b,1.32,0.16,-0.16,28.2,29,-24.1,Transit,2014
Kepler-562 b,5.21,0.64,-0.4,23.7,NA,NA,Transit,2016
Kepler-1671 b,1.32557381,NA,NA,2.32,NA,NA,Transit,2020
Kepler-1158 b,2.34,0.46,-0.46,6.08,NA,NA,Transit,2016
Kepler-311 b,1.7,0.33,-0.33,3.53,NA,NA,Transit,2014
Kepler-57 b,3.135,0.09,-0.088,25.06,5.16,-4.91,Transit,2012
Kepler-461 b,2.58,0.07,-0.06,7.18,NA,NA,Transit,2016
HD 24085 b,3.46,NA,NA,11.8,3.1,-3.1,Radial Velocity,2019
Kepler-1843 b,2.70909809,NA,NA,7.8,NA,NA,Transit,2021
Kepler-1184 b,2.68,0.6,-0.3,7.65,NA,NA,Transit,2016
TOI-1860 b,1.31,0.04,-0.04,2.27,NA,NA,Transit,2022
TOI-2260 b,1.62,0.13,-0.13,3.26,NA,NA,Transit,2022
Kepler-1018 b,2.58,0.3,-0.19,7.18,NA,NA,Transit,2016
HD 69830 c,3.46,NA,NA,11.8,NA,NA,Radial Velocity,2006
HD 10647 b,13.8,NA,NA,298.75,25.43,-25.43,Radial Velocity,2006
HD 219134 b,1.602,0.055,-0.055,4.74,0.19,-0.19,Radial Velocity,2015
rho CrB d,4.94,NA,NA,21.6,2.5,-2.5,Radial Velocity,2023
K2-250 b,2.71257333,0.17934369,-0.13450777,7.81,NA,NA,Transit,2018
Kepler-1852 b,1.88610592,NA,NA,4.22,NA,NA,Transit,2021
Kepler-881 b,1.78,0.43,-0.32,3.82,NA,NA,Transit,2016
Kepler-1294 b,3.19,0.54,-0.31,10.3,NA,NA,Transit,2016
HD 153557 c,4.36,NA,NA,17.48056238,1.58914204,-1.90697044,Radial Velocity,2022
